성남상권,상권명,상권종류,분기,매출총액,매출건수,가구,가방ㆍ기타 가죽,가전제품,가전제품 수리,가정용 직물제품,가정용세탁,가죽 및 모피 의복,간이음식 포장전문점,건강보조식품,건어물ㆍ젓갈류,게임ㆍ인형ㆍ장난감,곡물ㆍ곡분ㆍ사료,골프 연습장,그 외 기타 숙박,기숙사ㆍ고시원,기타 가정용품,기타 교습학원,기타 미용,기타 스포츠 학원,기타 식료품,기타 예술학원,기타 외국식 음식점,기타 음ㆍ식료품,기타 의복,기타 주점업,김밥ㆍ간이 음식점,남자의류,노래 연습장,당구장,두발 미용,문구ㆍ회화용품,미술학원,민박업,방문 교육학원,벽지ㆍ마루ㆍ장판류,부동산 중개업,비알코올 음료점,생맥주 전문점,서양식 음식점,서적ㆍ신문ㆍ잡지류,섬유제품,속옷ㆍ잠옷,슈퍼마켓,시계ㆍ귀금속,신발,신선ㆍ냉동ㆍ수산물,안경ㆍ렌즈,애완동물ㆍ관련용품,여관업,여자의류,외국어학원,운동ㆍ경기용품,육류,음악학원,의료용 기구,의류 상의,의복 액세서리ㆍ장신구,의약품ㆍ의료용품,일반 교과학원,일반의원,일식 음식점,자동차 세차,자동차 수리,자전거ㆍ운송장비,전기ㆍ조명,전자상거래 중개(소매),전자상거래(소매),제과점업,조리반찬,주방ㆍ가정유리ㆍ요업,중식 음식점,채소과일,철물ㆍ난방용구,청소년 수련시설,체력 단련시설,치과의원,치킨 전문점,커피 전문점,컴퓨터 게임방,컴퓨터ㆍ주변장치,태권도ㆍ무술학원,패스트푸드점,페인트ㆍ창호ㆍ건설자재,편의점,피부 미용,한식 면요리 전문점,한식 육류요리 전문점,한식 일반음식점,한식 해산물요리 전문점,한의원,핸드폰,화장품ㆍ비누ㆍ방향제,화초ㆍ식물
야탑3동 상권,매화로,발달상권,2022년1분기,33630081.0,934.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,8.0,10.0,0.0,1.0,0.0,5.0,0.0
야탑3동 상권,매화로,발달상권,2022년2분기,33923184.0,1072.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,3.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,6.0,9.0,0.0,1.0,0.0,5.0,0.0
야탑3동 상권,매화로,발달상권,2022년3분기,37012946.0,1216.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,8.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,5.0,0.0
야탑3동 상권,매화로,발달상권,2022년4분기,34808453.0,1106.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,8.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,4.0,0.0
야탑3동 상권,매화로,발달상권,2023년1분기,32845622.0,1245.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,8.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,5.0,0.0
야탑3동 상권,매화로,발달상권,2023년2분기,29555127.0,1309.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,8.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,6.0,9.0,0.0,1.0,0.0,5.0,0.0
야탑3동 상권,매화로,발달상권,2023년3분기,37961664.0,1460.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,9.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,5.0,9.0,0.0,1.0,0.0,5.0,0.0
야탑3동 상권,매화로,발달상권,2023년4분기,39651042.0,1303.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,9.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,5.0,10.0,0.0,1.0,0.0,5.0,0.0
야탑3동 상권,매화로,발달상권,2024년1분기,37119464.0,1289.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,9.0,1.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,5.0,11.0,0.0,1.0,0.0,5.0,0.0
야탑3동 상권,매화로,발달상권,2024년2분기,34506228.0,1109.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,8.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,6.0,12.0,0.0,1.0,0.0,5.0,0.0
판교테크노벨리,판교역로,발달상권,2022년1분기,19745956.0,1644.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,5.0,4.0,17.0,3.0,2.0,0.0,0.0,4.0
판교테크노벨리,판교역로,발달상권,2022년2분기,24791122.0,2095.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,5.0,4.0,16.0,3.0,2.0,0.0,0.0,4.0
판교테크노벨리,판교역로,발달상권,2022년3분기,23315445.0,1999.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,35.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,5.0,4.0,16.0,3.0,2.0,0.0,0.0,4.0
판교테크노벨리,판교역로,발달상권,2022년4분기,22577530.0,1800.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,37.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,5.0,4.0,17.0,3.0,2.0,0.0,0.0,4.0
판교테크노벨리,판교역로,발달상권,2023년1분기,25559610.0,1970.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,37.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,5.0,5.0,16.0,3.0,2.0,1.0,1.0,5.0
판교테크노벨리,판교역로,발달상권,2023년2분기,22073890.0,1851.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,37.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,5.0,5.0,17.0,3.0,2.0,1.0,1.0,4.0
판교테크노벨리,판교역로,발달상권,2023년3분기,24758811.0,2163.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,35.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,5.0,4.0,20.0,3.0,2.0,1.0,0.0,4.0
판교테크노벨리,판교역로,발달상권,2023년4분기,24047820.0,1923.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,35.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,5.0,4.0,20.0,3.0,2.0,1.0,0.0,4.0
판교테크노벨리,판교역로,발달상권,2024년1분기,25547244.0,2033.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,34.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,5.0,4.0,19.0,3.0,2.0,1.0,0.0,4.0
판교테크노벨리,판교역로,발달상권,2024년2분기,24410190.0,1937.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,34.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,6.0,3.0,19.0,2.0,2.0,1.0,0.0,4.0
판교테크노벨리,아이큐아리움,발달상권,2022년1분기,52992946.0,1710.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,3.0,0.0,10.0,9.0,0.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,4.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,8.0,16.0,1.0,1.0,0.0,0.0,2.0,12.0,3.0,0.0,1.0,13.0,0.0,0.0,0.0,4.0,6.0,4.0,41.0,0.0,0.0,1.0,10.0,0.0,8.0,2.0,8.0,21.0,38.0,10.0,2.0,3.0,3.0,3.0
판교테크노벨리,아이큐아리움,발달상권,2022년2분기,62472143.0,2092.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,5.0,3.0,0.0,9.0,10.0,0.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,4.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,8.0,16.0,1.0,1.0,0.0,0.0,2.0,12.0,3.0,0.0,1.0,13.0,0.0,0.0,0.0,5.0,5.0,4.0,45.0,0.0,0.0,1.0,11.0,0.0,8.0,1.0,7.0,22.0,39.0,10.0,2.0,3.0,3.0,3.0
판교테크노벨리,아이큐아리움,발달상권,2022년3분기,57942259.0,2037.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,7.0,3.0,0.0,9.0,10.0,0.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,4.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,8.0,17.0,1.0,1.0,0.0,0.0,2.0,12.0,4.0,0.0,1.0,13.0,0.0,0.0,0.0,5.0,5.0,4.0,45.0,0.0,0.0,1.0,12.0,0.0,8.0,1.0,7.0,23.0,38.0,10.0,2.0,3.0,3.0,3.0
판교테크노벨리,아이큐아리움,발달상권,2022년4분기,52703983.0,1921.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,6.0,3.0,0.0,10.0,10.0,0.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,8.0,16.0,1.0,1.0,0.0,0.0,2.0,10.0,4.0,0.0,1.0,14.0,0.0,0.0,0.0,5.0,5.0,4.0,48.0,0.0,0.0,1.0,13.0,0.0,8.0,1.0,7.0,23.0,38.0,10.0,2.0,3.0,3.0,3.0
판교테크노벨리,아이큐아리움,발달상권,2023년1분기,52323668.0,2060.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,6.0,3.0,0.0,9.0,9.0,0.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,8.0,16.0,1.0,1.0,0.0,0.0,2.0,10.0,4.0,0.0,1.0,14.0,0.0,0.0,0.0,5.0,5.0,4.0,48.0,0.0,0.0,1.0,14.0,0.0,9.0,0.0,7.0,24.0,37.0,9.0,2.0,3.0,3.0,3.0
판교테크노벨리,아이큐아리움,발달상권,2023년2분기,51855565.0,2168.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,6.0,3.0,0.0,9.0,9.0,0.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,8.0,16.0,0.0,1.0,0.0,0.0,2.0,10.0,4.0,0.0,1.0,13.0,0.0,0.0,0.0,6.0,5.0,4.0,48.0,0.0,0.0,1.0,14.0,0.0,10.0,0.0,7.0,25.0,38.0,9.0,2.0,2.0,3.0,3.0
판교테크노벨리,아이큐아리움,발달상권,2023년3분기,57022851.0,2467.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,5.0,3.0,0.0,10.0,7.0,0.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,8.0,17.0,0.0,1.0,0.0,0.0,2.0,11.0,5.0,0.0,1.0,14.0,0.0,0.0,0.0,6.0,5.0,4.0,48.0,0.0,0.0,1.0,14.0,0.0,10.0,0.0,8.0,23.0,40.0,9.0,2.0,2.0,3.0,3.0
판교테크노벨리,아이큐아리움,발달상권,2023년4분기,57768344.0,2393.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,6.0,3.0,0.0,10.0,7.0,0.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,9.0,16.0,0.0,1.0,0.0,0.0,2.0,11.0,5.0,0.0,1.0,14.0,0.0,0.0,0.0,6.0,5.0,4.0,47.0,0.0,0.0,1.0,13.0,0.0,10.0,0.0,8.0,23.0,41.0,8.0,2.0,2.0,3.0,3.0
판교테크노벨리,아이큐아리움,발달상권,2024년1분기,52663304.0,2238.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,6.0,2.0,0.0,7.0,7.0,0.0,4.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,9.0,19.0,0.0,1.0,0.0,0.0,2.0,10.0,4.0,0.0,1.0,14.0,0.0,0.0,0.0,5.0,5.0,4.0,44.0,0.0,0.0,1.0,11.0,0.0,10.0,0.0,8.0,24.0,44.0,8.0,3.0,2.0,3.0,3.0
판교테크노벨리,아이큐아리움,발달상권,2024년2분기,55065696.0,2252.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,8.0,2.0,0.0,8.0,8.0,0.0,4.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,9.0,18.0,0.0,1.0,0.0,0.0,2.0,9.0,4.0,0.0,0.0,14.0,1.0,0.0,0.0,5.0,5.0,4.0,42.0,0.0,0.0,1.0,12.0,0.0,10.0,0.0,8.0,24.0,42.0,8.0,3.0,2.0,3.0,3.0
판교테크노벨리,대왕판교로645번길,발달상권,2022년1분기,7783607754.0,104054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
